run	parameter	mean_partition	hist
4.0	alpha	1,2,3,4,3,5,4,3,5,3,1	0.0,0.0,0.0012,0.1003,0.3261,0.349,0.1728,0.0444,0.0059,0.0002,0.5577
6.0	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.001,0.9733,0.0256
6.0	pi	1,2,3,2,4,3,3,2,3,4,3	0.0006,0.0512,0.3527,0.4144,0.1545,0.0242,0.0023,0.0001
6.0	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0005,0.0338,0.4386,0.4216,0.0977,0.0077,0.0002
6.0	alpha	1,2,3,4,3,5,4,6,5,3,1	0.0,0.0,0.0002,0.0234,0.1469,0.3037,0.3092,0.1643,0.0463,0.0058,0.5685
8.0	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0016,0.9488,0.0493,0.0003
8.0	pi	1,2,3,2,4,3,3,2,3,4,3	0.0004,0.0429,0.2955,0.412,0.1986,0.0447,0.0055,0.0003,0.0
8.0	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0004,0.0324,0.3655,0.4518,0.1358,0.0137,0.0004
8.0	alpha	1,2,3,4,3,5,6,7,5,3,8	0.0,0.0,0.0,0.0042,0.0414,0.16,0.299,0.2946,0.1564,0.0404,0.0039
1.2_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0026,0.9914,0.006
1.2_hyper	pi	1,1,2,2,3,2,2,2,2,3,2	0.0071,0.0865,0.4382,0.36,0.0966,0.011,0.0007
1.2_hyper	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0011,0.0499,0.4957,0.3728,0.0747,0.0057,0.0001
1.2_hyper	alpha	1,2,3,4,3,5,4,6,5,3,1	0.0,0.0,0.0003,0.0419,0.1569,0.258,0.2652,0.1771,0.0795,0.019,0.5708
10.0_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0001,0.9206,0.0785,0.0008
10.0_hyper	pi	1,2,3,2,4,3,3,2,3,4,3	0.0003,0.0263,0.2092,0.3831,0.2691,0.0927,0.017,0.0021,0.0
10.0_hyper	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0006,0.028,0.272,0.4596,0.2006,0.0368,0.0023,0.0
10.0_hyper	alpha	1,2,3,4,5,6,7,8,9,3,10	0.0,0.0,0.0,0.0001,0.0039,0.0294,0.1242,0.2765,0.3335,0.1923,0.0401
10.8_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0001,0.9179,0.0803,0.0017
10.8_hyper	pi	1,2,3,2,4,5,5,2,5,4,5	0.0002,0.0141,0.1261,0.3102,0.323,0.1681,0.0495,0.0081,0.0006,0.0
10.8_hyper	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0003,0.0133,0.1429,0.3743,0.327,0.1222,0.0189,0.001
10.8_hyper	alpha	1,2,3,4,5,6,7,8,9,3,10	0.0,0.0,0.0,0.0,0.0002,0.003,0.0253,0.127,0.3179,0.379,0.1475
2.0_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.004,0.9911,0.0049
2.0_hyper	pi	1,1,2,1,3,2,2,2,2,3,2	0.0013,0.0896,0.4477,0.3599,0.0911,0.0097,0.0005,0.0
2.0_hyper	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0009,0.0435,0.525,0.3606,0.0665,0.0034,0.0
2.0_hyper	alpha	1,2,3,4,3,5,4,3,5,3,1	0.0,0.0,0.001,0.0825,0.2411,0.3075,0.2267,0.1067,0.0294,0.0048,0.6338
4.0_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0025,0.9897,0.0078
4.0_hyper	pi	1,1,2,1,3,2,2,2,2,3,2	0.0012,0.0705,0.4225,0.3877,0.1062,0.0113,0.0007
4.0_hyper	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0006,0.0459,0.5087,0.3712,0.0705,0.003,0.0001
4.0_hyper	alpha	1,2,3,4,3,5,4,3,5,3,1	0.0,0.0,0.0007,0.0798,0.2707,0.3327,0.2211,0.0768,0.0162,0.0017,0.6227
6.0_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0007,0.9778,0.0215
6.0_hyper	pi	1,2,3,2,4,3,3,2,3,4,3	0.0007,0.0574,0.3616,0.4091,0.1471,0.0219,0.0021,0.0
6.0_hyper	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0006,0.0315,0.445,0.4207,0.0954,0.0066,0.0001
6.0_hyper	alpha	1,2,3,4,3,5,4,6,5,3,1	0.0,0.0,0.0003,0.0249,0.1473,0.2992,0.3023,0.1693,0.0499,0.0067,0.5842
8.0_hyper	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0007,0.9521,0.0472,0.0
8.0_hyper	pi	1,2,3,2,4,3,3,2,3,4,3	0.0004,0.0421,0.2998,0.4126,0.1964,0.043,0.0054,0.0003,0.0
8.0_hyper	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0009,0.0341,0.378,0.4439,0.1303,0.0124,0.0004
8.0_hyper	alpha	1,2,3,4,3,5,6,7,5,3,8	0.0,0.0,0.0,0.0041,0.0422,0.159,0.2969,0.2932,0.159,0.0414,0.0042
